#,"Total Backlinks","Domain Rating","URL Rating (desc)","Referring Domains","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",TextPre,"Link Anchor",TextPost,Type,"Backlink Status","First Seen","Last Check","Day Lost",Language,Traffic,Keywords,"Js rendered","Linked Domains"
28,1,83,12,0,https://yandex.com.tr/profile/1323973524,Yandex,20,2,https://gmt-clinic.ru/make_an_appointment,,"Записаться на приём",,Dofollow,,"2020-04-20 00:29:58","2020-04-20 00:29:58",,tr,0,0,,1
29,6,53,12,9,https://www.beautyinsider.ru/2015/09/09/sclero-gmt/,"Склеротерапия вен нижних конечностей: отзыв на процедуру | Beauty Insider",74,17,http://gmt-clinic.ru/n/clinic/flebologiya,можно,тут,.,"Nofollow, Content",,"2018-05-20 16:00:10","2020-06-14 14:03:18",,ru,59,30,,7
30,4,53,12,9,https://www.beautyinsider.ru/2015/09/09/sclero-gmt/,"Склеротерапия вен нижних конечностей: отзыв на процедуру | Beauty Insider",74,17,http://gmt-clinic.ru/,,http://gmt-clinic.ru/,,"Nofollow, Content",,"2018-05-20 16:00:10","2020-06-14 14:03:18",,ru,59,30,,7
31,2,53,12,9,https://www.beautyinsider.ru/2015/09/09/sclero-gmt/,"Склеротерапия вен нижних конечностей: отзыв на процедуру | Beauty Insider",74,17,http://gmt-clinic.ru/price,"(полный прайс",здесь,"). Вам также понадобятся компрессионные чулки (8-10000 рублей).","Nofollow, Content",,"2018-05-20 16:00:10","2020-06-14 14:03:18",,ru,59,30,,7
32,2,65,12,3,https://letidor.ru/krasota/8-faktov-o-gipoallergennoi-kosmetike-kotorye-malo-kto-znaet.htm,"8 фактов о гипоаллергенной косметике, которые мало кто знает - Летидор",27,12,http://gmt-clinic.ru/,"рассказала Ирина Кулакова, косметолог, дерматовенеролог, трихолог Клиники Немецких Медицинских Технологий","GMT Clinic",.,"Nofollow, Content",,"2018-09-16 02:18:40","2020-06-16 06:23:27",,ru,85,41,,9
33,1,65,12,3,https://letidor.ru/krasota/kak-pobedit-rasshirennye-pory-na-lice-podskazki-ot-kosmetologa.htm,"Как победить расширенные поры на лице: подсказки от косметолога - Летидор",29,11,https://gmt-clinic.ru/,"узнал у Мавджуды Тохировой, косметолога, дерматовенеролога Клиники Немецких Медицинских Технологий",GMTClinic.,,Nofollow,,"2019-05-05 04:29:17","2020-06-03 20:37:41",,ru,583,201,,9
34,9,47,12,0,http://forum.mobiset.ru/viewtopic.php?t=25680,"8 Марта - Просмотр темы - Форумы Mobiset.Ru о мобильной связи",77,18,http://gmt-clinic.ru/n/clinic/kosmetologiya,"мне сотрудница с работы подсказала , сказала тут хорошая косметология",http://gmt-clinic.ru/n/clinic/kosmetologiya,". Судя по восторгу жены, и правда хорошая.",Dofollow,,"2017-10-16 18:10:43","2020-05-15 21:47:11",,ru,0,0,,11
35,2,80,11,0,https://rutube.ru/video/e83663b2cfd5e14bdcc394a9fb3a73a8/,"Идеальная грудь by GMTClinic смотреть онлайн видео от GMTClinic в хорошем качестве. — Видеохостинг Rutube",71,19,https://gmt-clinic.ru/n/clinic/plasticheskaya-hirurgiya/plastika-grudi,,https://gmt-clinic.ru/n/clinic/plasticheskaya-hirurgiya/plastika-grudi,"Операции в Клинике проводит лучший пластический хирург в Москве по","Nofollow, Content",,"2020-04-24 05:03:48","2020-04-24 05:03:48",,ru,0,0,,11
36,1,80,11,0,https://yandex.by/maps/org/gmtclinic/1323973524/,"GMTClinic, косметология, Россия, Москва, Новинский бул., 20А, стр. 9 — Яндекс.Карты",31,27,https://gmt-clinic.ru/,,gmt-clinic.ru,,Nofollow,,"2020-05-09 06:29:35","2020-06-05 14:16:29",,ru,0,0,,8
37,1,80,11,0,https://yandex.by/maps/org/gmtclinic/1323973524/,"GMTClinic, косметология, Россия, Москва, Новинский бул., 20А, стр. 9 — Яндекс.Карты",31,27,https://gmt-clinic.ru/make_an_appointment,,"Записаться на приём",,Nofollow,,"2020-05-09 06:29:35","2020-06-05 14:16:29",,ru,0,0,,8
38,1,74,11,1,https://www.elle.ru/krasota/beauty_blog/missiya-vypolnima-poluchit-idealnuyu-kozhu-v-klinikah-gmt-id6803950/,"Миссия выполнима: получить идеальную кожу в GMTClinic",66,22,https://gmt-clinic.ru/,"ярче праздничной елки, рекомендуем записаться в Клинику Немецких Медицинских Технологий",GMTClinic,"на одну или комплекс процедур на лазерной платформе JOULE Sciton.",Dofollow,,"2019-01-10 09:41:42","2020-05-28 23:45:38",,ru,0,2,,18
39,9,47,11,0,http://forum.mobiset.ru/viewtopic.php?t=26248,"Пляжная одежда - Просмотр темы - Форумы Mobiset.Ru о мобильной связи",55,15,http://gmt-clinic.ru/lpg-massazh,"сейчас, что бы пресс появился, а жена записалась на LPG-массаж",http://gmt-clinic.ru/lpg-massazh,", для приведения фигуры в оптимальную форму. Он даёт результат",Dofollow,,"2018-06-18 04:43:26","2020-05-07 03:01:17",,ru,0,0,,11
40,1,75,11,0,https://snob.ru/news/168892/,"Клиника Немецких Медицинских Технологий GMTClinic отпраздновала четырехлетие — Сноб",93,9,https://gmt-clinic.ru/,"15 ноября в","Клинике Немецких Медицинских Технологий GMTClinic","состоялась встреча руководства клиники с представителями прессы. Участники обсудили тенденции","Dofollow, Content",,"2020-05-05 08:12:19","2020-05-05 08:12:19",,ru,2.0,3,,8
41,2,78,11,0,https://life.ru/p/897648,"Беременность и красота: что можно и что нельзя",33,9,http://gmt-clinic.ru/,"стричь волосы и делать окрашивание. Врач-трихолог Клиники немецких медицинских технологий",GMTClinic,"Елена Юрьевна Хвостова уверяет, что стрижка никакого вреда малышу не","Dofollow, Content",,"2020-03-04 14:46:46","2020-03-04 14:46:46",,ru,12,37,,4
42,6,70,11,0,https://jobs.day.az/employer/1589264,"Вакансии компании ДжиЭмТи - работа в Москве",19,7,http://www.gmt-clinic.ru/,,www.gmt-clinic.ru,,Nofollow,,"2019-07-22 08:07:13","2020-02-27 07:17:15",,fr,0,0,,3
43,1,72,11,0,http://womans.forum2x2.ru/t1291p125-topic,"Морщинки - Страница 6",93,4,https://gmt-clinic.ru/konturnaya-plastika-lica-skul,"более эффективный способ избавиться от морщин- записаться на контурную пластику",https://gmt-clinic.ru/konturnaya-plastika-lica-skul,". Одной процедуры достаточно, чтобы привести кожу в порядок. В",Dofollow,,"2019-06-05 10:43:22","2019-06-05 10:43:22",,,0,0,,4
44,2,78,11,0,https://spb.superjob.ru/clients/kamerton-3482093.html,"Вакансии Камертон в Санкт-Петербурге, работа в Камертон на Superjob",70,4,http://gmt-clinic.ru/kontakty/spb,,gmt-clinic.ru/kontakty/spb,,Nofollow,,"2018-08-11 17:41:47","2020-02-21 02:38:05",,ru,0,0,,3
45,5,29,11,0,http://kxk.ru/forum/view.php?p=13570&t=1540086,"Салон красоты",23,4,https://gmt-clinic.ru/omolozhenie-lica,"Вот на прошлой неделе была в GMT",https://gmt-clinic.ru/omolozhenie-lica,"на процедуре омоложения лица. После неё лет на пять стала",Dofollow,,"2019-02-06 10:05:36","2019-02-06 10:05:36",,,0,0,,3
46,1,78,11,0,https://www.superjob.ru/resume/ofis-menedzher-47808656.html,"Резюме Офис-менеджер, экономист, менеджер по оформлению документов, специалист контрактного отдела, Москва, 60 000 руб. в месяц - найти Менеджера по оформлению документов на SuperJob",52,10,https://gmt-clinic.ru/,,https://gmt-clinic.ru,,Nofollow,,"2020-06-14 23:03:10","2020-06-14 23:03:10",,ru,0,0,,7
47,2,70,11,2,https://www.7ya.ru/article/Apparatnaya-mezoterapiya-Dermadrop-vvedenie-gialuronovoj-kisloty-bez-ukolov/,"Аппаратная мезотерапия Dermadrop – введение гиалуроновой кислоты без уколов. Омоложение кожи без инъекций",216,19,http://gmt-clinic.ru/,"воздействия на лицо, — говорит Нина Савчук, косметолог-эстетист Клиники немецких медицинских технологий",GMTClinic,". — Процедура не имеет противопоказаний и возрастных ограничений, ее можно делать даже во время","Dofollow, Content",,"2018-09-07 14:22:16","2020-06-07 11:46:06",,ru,0,1,,14
48,10,47,11,0,http://forum.mobiset.ru/viewtopic.php?t=25826,"Жена жалуется, что у неё выпадают ресницы и брови. - Просмотр темы - Форумы Mobiset.Ru о мобильной связи",77,17,http://gmt-clinic.ru/,"Да, запишитесь в косметологическую клинику",http://gmt-clinic.ru/,", там вам смогут помочь в этом вопросе. При чём",Dofollow,,"2017-12-28 10:33:14","2020-04-21 07:30:26",,ru,0,0,,14
49,52,74,11,0,https://forum.inosmi.ru/showthread.php?p=5130031,"что подарить девушке?что думаете? - Страница 3 - ИНОСМИ",158,217,http://gmt-clinic.ru/,"сертификат на поход в салон красоты? Есть хорошая клиника красоты",http://gmt-clinic.ru/,", туда мама ходит регулярно. А девушка пусть выберет сама",Dofollow,,"2018-10-10 12:27:09","2019-11-12 03:36:21",,ru,0,0,,175
50,2,65,11,2,https://letidor.ru/krasota/kak-vybrat-nochnuyu-kosmetiku-chtoby-ne-pozhalet-obyasnyaet-ekspert.htm,"Как выбрать ночную косметику, чтобы не пожалеть: объясняет эксперт - Летидор",29,38,http://gmt-clinic.ru/,"рассказала Ирина Кулакова, косметолог, дерматовенеролог, трихолог Клиники Немецких Медицинских Технологий",GMTClinic.,,Nofollow,,"2018-10-09 21:03:35","2020-05-01 21:18:12",,ru,0,0,,28
51,1,65,11,1,https://letidor.ru/krasota/5-neprostitelnykh-oshibok-kotorye-vy-sovershaete-v-letnem-ukhode-za-licom.htm,"5 непростительных ошибок, которые вы совершаете в летнем уходе за лицом - Летидор",30,11,https://gmt-clinic.ru/,"Александра Брендле, врач-косметолог, дерматовенеролог Клиники Немецких Медицинских Технологий","GMTClinic,","рассказала читателям «Летидора» об ошибках, которые чаще всего допускаются при",Nofollow,,"2019-06-16 03:25:27","2020-06-04 13:52:00",,ru,0,1,,9
52,1,65,11,1,https://letidor.ru/krasota/pochemu-muzhchinam-nuzhna-svoya-kosmetika.htm,"Почему мужчинам нужна своя косметика - Летидор",31,14,https://gmt-clinic.ru/,"тоже должен быть особенным, уверена Александра Семова, врач-косметолог, дерматолог, трихолог",GMTClinic,"(г. Санкт-Петербург).",Nofollow,,"2020-02-17 18:21:19","2020-06-09 19:21:32",,ru,0,0,,10
53,1,65,11,2,https://letidor.ru/novyy-god/5-kosmeticheskikh-procedur-kotorye-pomogut-vam-podgotovitsya-k-prazdnikam.htm,"5 бьюти-процедур, которые помогут вам подготовиться к встрече Нового года - Летидор",30,17,https://gmt-clinic.ru/,"член Американской Академии Лазерной Медицины и Хирургии (ASLMS), косметолог, дерматовенеролог","Клиники Немецких Медицинских Технологий GMTClinic.",,Nofollow,,"2018-12-14 07:07:11","2020-06-10 00:26:46",,ru,0,1,,13
54,3,56,11,1,http://www.orgpage.ru/moskva/gmtclinic-5569454.html,"GMTClinic, ООО Москва - телефон, адрес, контакты. Отзывы о GMTClinic (Арбат), вакансии",34,10,http://www.gmt-clinic.ru/,Сайт:,www.gmt-clinic.ru,,Nofollow,,"2018-10-21 20:51:46","2020-04-09 22:08:41",,ru,0,0,,6
55,9,57,11,1,https://grc.ua/employer/1589264,"Вакансии компании ДжиЭмТи - работа в Москве",24,5,http://www.gmt-clinic.ru/,,www.gmt-clinic.ru,,Nofollow,,"2020-05-13 12:21:04","2020-05-13 12:21:04",,ru,0,0,,3
56,2,64,11,2,https://peopletalk.ru/article/kak-umenshit-pory-5-effektivnyh-sposobov/,"Как уменьшить поры на лице? Эффективные процедуры для сужения пор на PEOPLETALK",101,31,http://gmt-clinic.ru/,1.,GMTClinic,": чистка на аппарате Skin Master Plus — 3000 р.","Dofollow, Content",,"2019-04-23 20:12:16","2020-06-08 10:16:50",,ru,6,36,,21
57,2,64,11,1,https://peopletalk.ru/article/professionalnaya-kosmetika-sredstva-kotorymi-polzuyutsya-kosmetologi-i-tebe-pora/,"Топ лучших профессиональных средств для лица",99,31,http://gmt-clinic.ru/,"Где купить:",GMTClinic,,"Dofollow, Content",,"2019-05-16 07:38:52","2020-06-09 22:23:38",,ru,0.12,14,,24
58,2,64,11,1,https://peopletalk.ru/article/test-redaktsii-top-protsedur-kotorye-nuzhny-tebe-pered-plyazhnym-sezonom/,"Лучшие процедуры для тела - реальные отзывы и цены на PEOPLETALK",89,34,https://gmt-clinic.ru/,Где:,GMTClinic,,"Dofollow, Content",,"2019-06-17 19:48:04","2020-06-10 08:50:50",,ru,0.25,13,,20
59,2,64,11,1,https://peopletalk.ru/article/top-mest-moskvy-gde-sdelat-antitsellyulitnyj-massazh/,"Топ мест Москвы, где сделать антицеллюлитный массаж",88,27,http://gmt-clinic.ru/,Клиника,GMT-clinic,", от 3000 р.","Dofollow, Content",,"2020-02-02 02:39:57","2020-06-15 09:11:57",,ru,0,1,,19
60,1,64,11,1,http://mdk-arbat.ru/events/detail/3973,"Пластический хирург Анвар Салиджанов в Московском Доме Книги",133,13,https://gmt-clinic.ru/,,https://gmt-clinic.ru/,,"Dofollow, Content",,"2019-09-14 01:27:00","2020-04-27 11:23:23",,ru,0.38,3,,8
61,6,63,11,1,https://www.gastronom.ru/forum/topic/dom-dacha-remont-82505?page=7,"Дом. Дача. Ремонт...",173,31,http://gmt-clinic.ru/3d-rf-lifting-infini-igolchatiy,"или сходить в клинику на процедуру массажа или лифтинга",http://gmt-clinic.ru/3d-rf-lifting-infini-igolchatiy,". Таким образом, прекрасно отдохнете и поправите свое здоровье.",Dofollow,,"2018-12-01 06:50:01","2020-06-07 12:34:57",,ru,0,0,,19
62,30,37,11,1,https://www.vallexm.ru/cosmetic/estetic/restylane/patients/,"Restylane: Пациентам",141,43,http://www.gmt-clinic.ru/,,www.gmt-clinic.ru,,Dofollow,,"2020-04-14 01:34:45","2020-05-19 22:07:27",,,0,0,,29
63,9,67,11,0,https://hh.kz/employer/1589264,"Вакансии компании ДжиЭмТи - работа в Москве",24,11,http://www.gmt-clinic.ru/,,www.gmt-clinic.ru,,Nofollow,,"2019-07-02 10:50:10","2020-05-11 15:59:17",,ru,0,0,,6
64,462,44,11,1,https://bellaestetica.ru/question/kistoz-salnyx-zhelez,"Кистоз сальных желез - Bella Estetica",41,6,https://gmt-clinic.ru/n/clinic/kosmetologiya/kosmetologiya-lica,,,,"Nofollow, Image",,"2018-08-08 07:28:51","2020-06-15 17:36:50",,ru,0,0,,4
65,10,71,11,0,https://zookuznetsk.forum24.ru/?1-12-0-00001016-000-0-0-1559574072,Зоо-Кузнецк,16,7,https://gmt-clinic.ru/tredlifting-lica-3d-mezonityami,"массажик, от которого уходят складки жировые. Ещё нравится 3д лифтинг",https://gmt-clinic.ru/tredlifting-lica-3d-mezonityami,", после него лицо подтянуто, контур лица более чёткий. Не",Dofollow,,"2019-10-13 07:05:01","2020-04-16 03:56:44",,ru,0,0,,5
66,3,18,11,0,https://germaine-de-capuccini.com.ru/vash-salon/russia/,"Салоны красоты где можно купить продукцию germaine de capuccini",31,188,http://www.gmt-clinic.ru/,Сайт:,www.gmt-clinic.ru,,Dofollow,,"2019-10-31 10:52:31","2020-04-25 00:54:33",,ru,0.38,107,,122
67,5,72,11,0,http://forum.guns.ru/forummessage/61/1837307-22.html,"а что с женщинами происходит, мутация какая то? страница 22 - Guns.ru Talks",38,3,http://gmt-clinic.ru/n/clinic/plasticheskaya-hirurgiya/plastika-podtyazhka-lica,"опыт в косметических процедурах, делала в клинике небольшую пластику лица",http://gmt-clinic.ru/n/clinic/plasticheskaya-hirurgiya/plastika-podtyazhka-lica,". Результат лучше чем думала, причем настолько все аккуратно, что",Dofollow,,"2018-07-28 04:08:19","2019-08-18 23:10:40",,ru,0,0,,2
68,15,71,10,0,https://ryazandog.forum24.ru/?1-19-0-00000138-000-0-0-1575641013,"Рязанский форум любителей собак",20,8,http://gmt-clinic.ru/n/clinic/kosmetologiya,"именно в нужных местах. Просто сходите на консультацию в эту",http://gmt-clinic.ru/n/clinic/kosmetologiya,"косметологию, вам всё подробно объяснят. Там есть очень опытные специалисты","Dofollow, Content",,"2019-12-21 20:12:50","2020-04-18 04:51:01",,ru,0,0,,6
69,4,27,10,2,http://plastgid.ru/katalog/,Каталог,89,10,http://gmt-clinic.ru/,,http://gmt-clinic.ru,,Dofollow,,"2016-05-29 19:20:41","2020-06-12 14:37:34",,ru,0,0,,5
70,1,73,10,0,https://medportal.ru/redirect?url=/clinics/guide/gmtclinic/,,0,1,http://gmt-clinic.ru/,,,,"Dofollow, Redirect",,"2020-03-24 20:21:40","2020-03-24 20:21:40",,,0,0,,1
71,1,72,10,0,https://www.weblancer.net/projects/sajty-pod-klyuch-58/sozdat-sajt-na-temu-plasticheskoj-hirurgii-668411/,"Создать сайт на тему пластической хирургии — Фриланс-заказ №668411 для разработчика сайтов: Завершен",106,11,http://sales.gmt-clinic.ru/breast-Enlargement,,http://sales.gmt-clinic.ru/breast-Enlargement?utm_source=YandexMKB&amp;utm_medium=banner&amp;utm_campaign=breast-Enlargement,,"Nofollow, Content",,"2020-02-04 17:45:34","2020-03-29 15:54:44",,ru,0,0,,9
72,12,71,10,0,https://yamama.forum24.ru/?1-11-0-00000109-000-0-1,Форум,15,13,https://gmt-clinic.ru/thermage,"такой проблемой столкнулась, мне помогли процедуры термажа в ГМТ клиник",https://gmt-clinic.ru/thermage,"в Москве. Это один из современных и очень качественных методов",Dofollow,,"2019-09-01 13:21:10","2020-05-12 00:01:12",,ru,0,0,,7
