#,"Domain Rating","URL Rating (desc)","Referring Domains","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",TextPre,"Link Anchor",TextPost,Type,"Backlink Status","First Seen","Last Check","Day Lost",Language,Traffic,Keywords,"Js rendered","Linked Domains"
17,79,17,0,https://moskva.bezformata.com/listnews/klinicheskij-tcentr-v-rajone-zyablikovo/83375674/,"Москва | Научно-клинический центр в районе Зябликово объявил о наборе сотрудников - БезФормата",245,11,https://fnkc-fmba.ru/news/nasha-komanda-ishchet-novykh-sotrudnikov/,"период пандемии коронавирусной инфекции. Информация об этом размещена на официальном",сайте,медучреждения.,"Dofollow, Content",,"2020-04-27 04:50:41","2020-04-27 04:50:41",,ru,0,0,,9
18,70,17,0,https://newsland.com/community/4765/content/on-zhalovalsia-chto-ego-zastavliaiut-rabotat-posle-zarazheniia-koronavirusom/7113865,"Он жаловался, что его заставляют работать после заражения коронавирусом: Политика, экономика, общество (без банов) Newsland – комментарии, дискуссии и обсуждения новости.",134,35,https://fnkc-fmba.ru/news/kollektiv-fnkts-fmba-rossii-vyrazhaet-soboleznovaniya/,"24 апреля",погибла,"заведующая отделением скорой медицинской помощи Звездного городка Наталья Лебедева, которая","Nofollow, Content",,"2020-05-08 06:02:51","2020-05-08 06:02:51",,ru,0,0,,23
19,17,17,14,http://kb83.com/,,0,1,http://fnkc-fmba.ru/,,,,"Dofollow, Redirect",,"2018-04-12 18:47:58","2020-06-11 02:16:39",,,0,0,,1
20,27,16,10,https://alexatop1m.kritih.com/List-155.html,"best websites, top websites, website ranking, top 10 websites, top sites",204,8404,https://fnkc-fmba.ru/default.htm,,fnkc-fmba.ru,,Nofollow,,"2020-02-06 10:01:28","2020-05-18 03:55:17",,,0.51,15,,5113
21,27,16,10,https://alexatop1m.kritih.com/List-155.html,"best websites, top websites, website ranking, top 10 websites, top sites",204,8404,http://fnkc-fmba.ru/default.htm,,fnkc-fmba.ru,,Nofollow,,"2020-02-06 10:01:28","2020-05-18 03:55:17",,,0.51,15,,5113
22,6,16,13,http://yaltamarathon.ru/,"Ялта марафон",3,25,https://fnkc-fmba.ru/,"Выдача справок в Москве. В","Федеральном научно-клиническом центре ФМБА России","доступна услуга оформления справки на забег «Ялта марафон 2018» за","Dofollow, Content",,"2018-02-26 16:29:31","2020-06-14 08:14:39",,,0,1,,14
23,54,16,0,https://openmedia.io/news/n1/v-voronezhe-vrach-vypal-iz-okna-bolnicy-eto-tretij-podobnyj-sluchaj-za-neskolko-nedel/,"В Воронеже врач выпал из окна больницы. Это третий подобный случай за несколько недель — Открытые Медиа",16,13,https://fnkc-fmba.ru/news/kollektiv-fnkts-fmba-rossii-vyrazhaet-soboleznovaniya/,"24 апреля",умерла,"завотделением скорой помощи Звездного городка в Подмосковье Наталья Лебедева. «Московский комсомолец»",Dofollow,,"2020-05-06 09:05:48","2020-05-12 06:46:09",,ru,0.40,10,,11
24,92,16,2,"https://ru.wikipedia.org/wiki/Баранов,_Виктор_Михайлович","Баранов, Виктор Михайлович — Википедия",95,18,https://fnkc-fmba.ru/about/komanda-upravleniya/baranov-viktor-mikhaylovich/,,"Федеральный научно-клинический центр ФМБА России",,Nofollow,,"2018-09-29 14:18:09","2020-04-22 03:46:18",,ru,0,0,,10
25,88,16,1,https://zyablikovo.mos.ru/presscenter/news/detail/8850503.html,"Научно-клинический центр в районе Зябликово объявил о наборе сотрудников",228,3,https://fnkc-fmba.ru/news/nasha-komanda-ishchet-novykh-sotrudnikov/,"период пандемии коронавирусной инфекции. Информация об этом размещена на официальном",сайте,медучреждения.,"Dofollow, Content",,"2020-05-04 21:57:24","2020-05-04 21:57:24",,ru,0,0,,3
26,81,15,8,https://russland.ahk.de/corona-krise/q-a,"Fragen und Antworten rund um die Corona-Krise in Russland",84,89,https://fnkc-fmba.ru/,,"ФНКЦ специализированных видов медицинской помощи и медицинских технологий",,Dofollow,,"2020-05-19 11:26:31","2020-06-16 05:04:16",,de,16,51,,74
27,50,15,5,https://newrunners.ru/race/moskovskiy-treyl-2019/,"Московский трейл",77,25,https://fnkc-fmba.ru/,В,http://fnkc-fmba.ru,"справки по 100 руб при условии регистрации в забеге.",Dofollow,,"2019-02-01 03:30:26","2020-04-25 16:19:46",,ru,50,2,,12
28,50,15,5,https://newrunners.ru/race/moskovskiy-treyl-2019/,"Московский трейл",77,25,http://fnkc-fmba.ru/,В,http://fnkc-fmba.ru,"справки по 100 руб при условии регистрации в забеге.",Dofollow,,"2019-04-06 07:21:27","2020-04-25 16:19:46",,ru,50,2,,12
29,92,15,3,https://health.mail.ru/news/kak_sdat_krov_na_antitela_i_stat_donorom_plazmy/,"Как сдать кровь на антитела и стать донором плазмы для больных COVID-19: теория и личный опыт - Здоровье Mail.ru",51,10,https://fnkc-fmba.ru/news/v-fnkts-fmba-rossii-prishli-pervye-dobrovoltsy-chtoby-sdat-plazmu-krovi-i-pomoch-tyazhelobolnym-pats/?fbclid=IwAR11J5pgcEyUgeJhS9QFYGVMzdFoYNhXLtSxeFMSf1uKtC3mh9mComiuhwM,"Основные данные для тех, кто хочет сдать кровь, приведены","на сайте","ФНКЦ ФМБА России, но более подробно об этом пишет в","Dofollow, Content",,"2020-06-12 07:57:53","2020-06-12 07:57:53",,ru,0,0,,7
30,27,15,10,http://alexatop1m.kritih.com/List-155.html,"best websites, top websites, website ranking, top 10 websites, top sites",204,8390,https://fnkc-fmba.ru/default.htm,,fnkc-fmba.ru,,Nofollow,,"2020-05-25 18:03:48","2020-05-25 18:03:48",,en,0,0,,5114
31,27,15,10,http://alexatop1m.kritih.com/List-155.html,"best websites, top websites, website ranking, top 10 websites, top sites",204,8390,http://fnkc-fmba.ru/default.htm,,fnkc-fmba.ru,,Nofollow,,"2020-05-25 18:03:48","2020-05-25 18:03:48",,en,0,0,,5114
32,95,15,,https://vimeo.com/208482473,"Рекламный ролик ФНКЦ ФМБА России on Vimeo",50,3,http://fnkc-fmba.ru/,"специализированной медицинской помощи, объединяющее консультативно-диагностический центр и более 40 отделений.",fnkc-fmba.ru/,,Nofollow,,"2017-05-02 18:13:53","2017-05-02 18:13:53",,en,,,,2
33,79,15,0,https://moskva.bezformata.com/listnews/klinicheskij-tcentr-v-zyablikove-vvel/82633275/,"Москва | Научно-клинический центр в Зябликове ввел новые ограничения на посещение - БезФормата - Новости",192,10,https://fnkc-fmba.ru/news/vnimanie/,"с распространением коронавирусной инфекции. Информация об этом размещена на официальном",сайте,центра.,"Dofollow, Content",,"2020-03-28 05:13:58","2020-03-28 05:13:58",,ru,0,0,,8
34,54,15,8,http://www.topmillion.net/domain-list-504,"Alexa top domain list || page 504",23,1801,https://fnkc-fmba.ru/,,fnkc-fmba.ru,,Nofollow,,"2019-11-01 16:20:02","2020-05-30 06:16:23",,,0,4,,1046
35,54,15,8,http://www.topmillion.net/domain-list-504,"Alexa top domain list || page 504",23,1801,http://fnkc-fmba.ru/,,fnkc-fmba.ru,,Nofollow,,"2019-11-01 16:20:02","2020-05-30 06:16:23",,,0,4,,1046
36,73,15,6,https://nowthisnews.com/news/3-russian-doctors-treating-covid-19-patients-have-fallen-out-of-windows-in-2-weeks,"3 Russian Doctors Treating COVID-19 Patients Have Fallen Out Of Windows In 2 Weeks - NowThis",38,38,https://fnkc-fmba.ru/news/kollektiv-fnkts-fmba-rossii-vyrazhaet-soboleznovaniya/,"a high floor. Lebedeva had been hospitalized with suspected COVID-19.","In a statement",", the hospital said the fatal fall was “an accident,”","Dofollow, Content",,"2020-05-07 22:30:59","2020-06-15 16:30:28",,en,0.02,14,,19
37,76,15,2,https://sbis.ru/contragents/7724044189/772401001,"ФГБУ Фнкц ФМБА России, БУ, г.Москва ИНН 7724044189 | Реквизиты, юридический адрес, КПП, ОГРН, схема проезда, сайт, e-mail, телефон - узнать на sbis.ru",65,14,https://fnkc-fmba.ru/,,fnkc-fmba.ru,,Dofollow,,"2019-04-11 06:43:58","2019-09-07 00:08:55",,ru,0.16,9,,10
38,76,15,2,https://sbis.ru/contragents/7724044189/772401001,"ФГБУ Фнкц ФМБА России, БУ, г.Москва ИНН 7724044189 | Реквизиты, юридический адрес, КПП, ОГРН, схема проезда, сайт, e-mail, телефон - узнать на sbis.ru",65,14,http://fnkc-fmba.ru/,,fnkc-fmba.ru,,Dofollow,,"2019-04-11 06:43:58","2019-09-07 00:08:55",,ru,0.16,9,,10
39,30,15,1,http://www.medprofedu.ru/kafedri-i-kursi/kafedra-akusherstva-i-ginekologii,"Академия постдипломного образования ФГБУ ФНКЦ ФМБА России / Кафедры и курсы / Кафедра акушерства и гинекологии",18,11,https://fnkc-fmba.ru/,,http://www.kb83.com,,"Dofollow, Content",,"2017-06-06 10:01:48","2020-05-01 17:32:39",,,1.9,14,,8
40,30,15,1,http://www.medprofedu.ru/kafedri-i-kursi/kafedra-akusherstva-i-ginekologii,"Академия постдипломного образования ФГБУ ФНКЦ ФМБА России / Кафедры и курсы / Кафедра акушерства и гинекологии",18,11,http://fnkc-fmba.ru/,,http://www.kb83.com,,"Dofollow, Content",,"2016-01-26 06:58:56","2020-05-01 17:32:39",,,1.9,14,,8
41,79,15,0,https://moskva.bezformata.com/listnews/fnktc-fmba-rossii-vistavil/79778247/,"Москва | ФНКЦ ФМБА России выставил стенд Российской недели здравоохранения-2019 в Экспоцентре - БезФормата - Новости",156,9,https://fnkc-fmba.ru/news/federalnyy-nauchno-klinicheskiy-tsentr-fmba-rossii-primet-uchastie-v-rossiyskoy-nedele-zdravookhranenya-2019/,"По информации, размещенной на официальном",сайте,"медицинского учреждения,до 6 декабряможно посетить экспозицию ФНКЦ ФМБА России, где","Dofollow, Content",,"2019-12-21 10:49:45","2020-03-28 18:07:34",,ru,0,0,,8
42,4,14,10,http://msch-protvino.ru/,"МСЧ №174 ФМБА России",14,9,https://fnkc-fmba.ru/,,,,"Dofollow, Image",,"2017-07-29 05:51:57","2020-06-10 23:35:26",,,14,56,,5
43,4,14,10,http://msch-protvino.ru/,"МСЧ №174 ФМБА России",14,9,http://fnkc-fmba.ru/,,,,"Dofollow, Image",,"2017-07-29 05:51:57","2020-06-10 23:35:26",,,14,56,,5
44,4,14,8,http://www.medinline.ru/,"Интернет-регистратура medinline.ru, запись к врачу онлайн через сайт",35,16,https://fnkc-fmba.ru/,,fnkc-fmba.ru,,Nofollow,,"2017-06-11 23:26:04","2020-06-16 03:56:35",,ru,0,0,,10
45,4,14,8,http://www.medinline.ru/,"Интернет-регистратура medinline.ru, запись к врачу онлайн через сайт",35,16,http://fnkc-fmba.ru/,,fnkc-fmba.ru,,Nofollow,,"2015-07-29 03:26:48","2020-06-16 03:56:35",,ru,0,0,,10
46,74,14,4,https://tjournal.ru/news/165012-voronezhskiy-vrach-upal-so-vtorogo-etazha-bolnicy-on-zhalovalsya-chto-ego-zastavlyayut-rabotat-posle-zarazheniya-koronavirusom,"Воронежский врач упал со второго этажа больницы. Он жаловался, что его заставляют работать после заражения коронавирусом — Новости на TJ",273,27,https://fnkc-fmba.ru/news/kollektiv-fnkts-fmba-rossii-vyrazhaet-soboleznovaniya/,"фоне распространения Covid-19 российские врачи выпадают из окон. 24 апреля",погибла,"заведующая отделением скорой медицинской помощи Звёздного городка Наталья Лебедева. О",Nofollow,,"2020-05-05 13:32:18","2020-06-08 21:15:44",,,0,2,,19
47,92,14,1,https://health.mail.ru/consultation/list/consultant/560/,"Понкратова Юлия Анатольевна - онлайн-консультация специалиста - онколог-химиотерапевт - Здоровье Mail.ru",61,8,https://fnkc-fmba.ru/employees/,,fnkc-fmba.ru/employees/,,Dofollow,,"2020-06-13 23:10:09","2020-06-13 23:10:09",,ru,0,0,,6
48,50,14,3,https://newrunners.ru/race/moskovskij-trejl-2018/,"Московский Трейл",84,25,https://fnkc-fmba.ru/,,,,"Nofollow, Image",,"2018-05-22 05:52:38","2020-05-01 06:05:42",,ru,20,5,,13
49,77,14,4,https://www.newsru.com/russia/29may2011/bagapsh.html,"NEWSru.com :: Президент Абхазии умер в Москве",56,19,https://fnkc-fmba.ru/,,kb83.com,,Nofollow,,"2018-07-15 13:28:54","2020-06-12 06:03:47",,ru,0,0,,15
50,77,14,4,https://www.newsru.com/russia/29may2011/bagapsh.html,"NEWSru.com :: Президент Абхазии умер в Москве",56,19,http://fnkc-fmba.ru/,,kb83.com,,Nofollow,,"2018-07-15 13:28:54","2020-06-12 06:03:47",,ru,0,0,,15
51,7,14,0,https://openmedia.ru/news/n1/v-voronezhe-vrach-vypal-iz-okna-bolnicy-eto-tretij-podobnyj-sluchaj-za-neskolko-nedel/,"В Воронеже врач выпал из окна больницы. Это третий подобный случай за несколько недель — Открытые Медиа",13,16,https://fnkc-fmba.ru/news/kollektiv-fnkts-fmba-rossii-vyrazhaet-soboleznovaniya/,"24 апреля",умерла,"завотделением скорой помощи Звездного городка в Подмосковье Наталья Лебедева. «Московский комсомолец»",Dofollow,,"2020-05-05 17:23:14","2020-05-05 17:23:14",,ru,0,0,,12
52,92,14,0,https://health.mail.ru/consultation/2861674/,"Рак легких - Онкология - Здоровье Mail.ru",45,11,https://fnkc-fmba.ru/employees/,,fnkc-fmba.ru/employees/,,Dofollow,,"2020-02-11 09:37:51","2020-02-11 09:37:51",,ru,0,0,,6
53,62,14,0,https://maxpark.com/community/4765/content/7113865,"Он жаловался, что его заставляют работать после заражения коронавирусом | Политика, экономика, общество (без банов)",67,42,https://fnkc-fmba.ru/news/kollektiv-fnkts-fmba-rossii-vyrazhaet-soboleznovaniya/,"24 апреля",погибла,"заведующая отделением скорой медицинской помощи Звездного городка Наталья Лебедева, которая","Nofollow, Content",,"2020-05-07 19:27:16","2020-05-18 08:31:18",,ru,0,0,,24
54,88,14,1,https://uao.mos.ru/presscenter/news/detail/5378644.html,"В программу специализированного Европейского исследования вошел Научно-клинический центр",494,10,https://fnkc-fmba.ru/,"сердечно-сосудистых заболеваний, ведения пациентов и результатов лечения», - говорится на",сайте,"медицинского учреждения.","Dofollow, Content",,"2019-05-18 12:05:04","2020-03-24 07:54:00",,ru,0,0,,5
55,88,14,1,https://uao.mos.ru/presscenter/news/detail/5378644.html,"В программу специализированного Европейского исследования вошел Научно-клинический центр",494,10,http://fnkc-fmba.ru/,"сердечно-сосудистых заболеваний, ведения пациентов и результатов лечения», - говорится на",сайте,"медицинского учреждения.","Dofollow, Content",,"2019-05-18 12:05:04","2020-03-24 07:54:00",,ru,0,0,,5
56,90,14,1,http://link.2gis.ru/1.2/206159FB/webapi/20180701/project32/70000001030403329/maps.ngs.ru/qqwjoAp8p719J813014G1GG4vk6fok44G6G424A8G561363AovvgA9248B7IG122G40J431Jjd5wuvG45566102262H2656HHHGJef?http://fnkc-fmba.ru,,0,2,https://fnkc-fmba.ru/,,перейти,.,"Dofollow, Content",,"2018-10-22 15:04:47","2018-10-22 15:04:47",,,0,0,,1
57,90,14,1,http://link.2gis.ru/1.2/206159FB/webapi/20180701/project32/70000001030403329/maps.ngs.ru/qqwjoAp8p719J813014G1GG4vk6fok44G6G424A8G561363AovvgA9248B7IG122G40J431Jjd5wuvG45566102262H2656HHHGJef?http://fnkc-fmba.ru,,0,2,http://fnkc-fmba.ru/,,перейти,.,"Dofollow, Content",,"2018-10-22 15:04:47","2018-10-22 15:04:47",,,0,0,,1
58,90,14,1,http://link.2gis.ru/1.2/4DFF61CA/webapi/20180801/project32/70000001030403348/maps.ngs.ru/A87i5yp8p729J81301I1GG4G9429n244G6G413453H613659ovvgA9A6573I4G39G4G524G5wzhduvG4563A102262H397J1HHGfe?http://fnkc-fmba.ru,,0,2,https://fnkc-fmba.ru/,,перейти,.,"Dofollow, Content",,"2018-12-05 20:44:19","2018-12-05 20:44:19",,,,,,1
59,90,14,1,http://link.2gis.ru/1.2/4DFF61CA/webapi/20180801/project32/70000001030403348/maps.ngs.ru/A87i5yp8p729J81301I1GG4G9429n244G6G413453H613659ovvgA9A6573I4G39G4G524G5wzhduvG4563A102262H397J1HHGfe?http://fnkc-fmba.ru,,0,2,http://fnkc-fmba.ru/,,перейти,.,"Dofollow, Content",,"2018-12-05 20:44:19","2018-12-05 20:44:19",,,,,,1
60,90,14,1,http://link.2gis.ru/1.2/9951D3AB/webapi/20190101/project32/70000001030403323/maps.ngs.ru/rCC2y4G6G7IH1H7JH1H2ocBdmvgA9474AI432160xuvov58C0641BG76I2H0yqtni49G450200351344HJ7HGJIJ5d?http://fnkc-fmba.ru,,0,2,https://fnkc-fmba.ru/,,перейти,.,"Dofollow, Content",,"2019-02-03 02:32:58","2019-02-03 02:32:58",,,0,0,,1
61,90,14,1,http://link.2gis.ru/1.2/9951D3AB/webapi/20190101/project32/70000001030403323/maps.ngs.ru/rCC2y4G6G7IH1H7JH1H2ocBdmvgA9474AI432160xuvov58C0641BG76I2H0yqtni49G450200351344HJ7HGJIJ5d?http://fnkc-fmba.ru,,0,2,http://fnkc-fmba.ru/,,перейти,.,"Dofollow, Content",,"2019-02-03 02:32:58","2019-02-03 02:32:58",,,0,0,,1
62,90,14,1,http://link.2gis.ru/1.2/AF2694F2/webapi/20181201/project32/70000001030403358/maps.ngs.ru/o7hvAw3Bp5G23113013GG4GGxvgxmd44G6G739I5G2545BH2ovvgA9A57J6227I1GA233J2J483fuv57261B2042729AAJ3HHHGh8?http://fnkc-fmba.ru,,0,2,https://fnkc-fmba.ru/,,перейти,.,"Dofollow, Content",,"2019-02-23 08:03:02","2019-02-23 08:03:02",,,0,0,,1
63,90,14,1,http://link.2gis.ru/1.2/AF2694F2/webapi/20181201/project32/70000001030403358/maps.ngs.ru/o7hvAw3Bp5G23113013GG4GGxvgxmd44G6G739I5G2545BH2ovvgA9A57J6227I1GA233J2J483fuv57261B2042729AAJ3HHHGh8?http://fnkc-fmba.ru,,0,2,http://fnkc-fmba.ru/,,перейти,.,"Dofollow, Content",,"2019-02-23 08:03:02","2019-02-23 08:03:02",,,0,0,,1
64,90,14,1,http://link.2gis.ru/1.2/8E4C16BA/webapi/20180301/project32/70000001030403310/maps.ngs.ru/5tfjj4G6G476G5GJ1H1HzrE94vgA941A6B431130ouvov3G45585I2735520pwu6jp8p71G3G7321316H3J2GJ6JGJIe1?http://fnkc-fmba.ru,,0,2,https://fnkc-fmba.ru/,,перейти,.,"Dofollow, Content",,"2019-03-13 06:27:45","2019-03-13 06:27:45",,,0,0,,1
65,90,14,1,http://link.2gis.ru/1.2/8E4C16BA/webapi/20180301/project32/70000001030403310/maps.ngs.ru/5tfjj4G6G476G5GJ1H1HzrE94vgA941A6B431130ouvov3G45585I2735520pwu6jp8p71G3G7321316H3J2GJ6JGJIe1?http://fnkc-fmba.ru,,0,2,http://fnkc-fmba.ru/,,перейти,.,"Dofollow, Content",,"2019-03-13 06:27:45","2019-03-13 06:27:45",,,0,0,,1
66,88,14,1,https://zyablikovo.mos.ru/presscenter/news/detail/8533071.html,"ФНКЦ ФМБА России выставил стенд Российской недели здравоохранения-2019 в Экспоцентре",225,2,https://fnkc-fmba.ru/news/federalnyy-nauchno-klinicheskiy-tsentr-fmba-rossii-primet-uchastie-v-rossiyskoy-nedele-zdravookhranenya-2019/,"По информации, размещенной на официальном",сайте,"медицинского учреждения,до 5 декабряможно посетить экспозицию ФНКЦ ФМБА России, где","Dofollow, Content",,"2020-01-02 21:22:59","2020-01-02 21:22:59",,ru,0,0,,2
67,90,14,1,http://link.2gis.ru/1.2/2A47C7D6/webapi/20190301/project32/70000001030403332/maps.ngs.ru/q6vtv4G6G7I5GH1J1HH19qeelvgA945C36131140puvov25839J3243654H0r5obc56p4GG900341415H4JH4JIJGJ6c?http://fnkc-fmba.ru,,0,2,https://fnkc-fmba.ru/,,перейти,.,"Dofollow, Content",,"2019-04-03 17:08:00","2019-04-03 17:08:00",,,0,0,,1
68,90,14,1,http://link.2gis.ru/1.2/2A47C7D6/webapi/20190301/project32/70000001030403332/maps.ngs.ru/q6vtv4G6G7I5GH1J1HH19qeelvgA945C36131140puvov25839J3243654H0r5obc56p4GG900341415H4JH4JIJGJ6c?http://fnkc-fmba.ru,,0,2,http://fnkc-fmba.ru/,,перейти,.,"Dofollow, Content",,"2019-04-03 17:08:00","2019-04-03 17:08:00",,,0,0,,1
69,88,14,1,https://zyablikovo.mos.ru/presscenter/news/detail/8437436.html,"Горожане бесплатно проконсультируются у врача-ортодонта на Ореховом бульваре",227,2,https://fnkc-fmba.ru/news/besplatnaya-konsultatsiya-vracha-ortodonta-uspey-zapisatsya/,"Подробно об акции читайте на",сайте,"ФНКЦ ФМБА России. Запись по телефону:8(499)725-44-40. Прием пройдет на 5-м","Dofollow, Content",,"2019-12-28 17:00:49","2019-12-28 17:00:49",,ru,0,0,,2
70,92,14,0,https://health.mail.ru/consultation/2353878/,"Рак груди 2 стадия - Онкология - Здоровье Mail.ru",43,11,https://fnkc-fmba.ru/employees/,,fnkc-fmba.ru/employees/,,Dofollow,,"2020-02-20 06:29:55","2020-02-20 06:29:55",,ru,0,0,,6
