#,"Total Backlinks","Domain Rating","URL Rating (desc)","Referring Domains","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",TextPre,"Link Anchor",TextPost,Type,"Backlink Status","First Seen","Last Check","Day Lost",Language,Traffic,Keywords,"Js rendered","Linked Domains"
11,12,50,18,5,https://www.gastroscan.ru/patient/therapy/01/,"Гастроэнтерологические центры в Москве и Московской области",42,51,http://fnkc-fmba.ru/department/gastroenterology/,"центр специализированных видов медицинской помощи и медицинских технологий ФМБА России,","гастроэнтерологическое отделение",,Dofollow,,"2019-08-15 20:41:10","2020-06-11 03:10:27",,,54,50,,37
12,4,50,17,11,https://newrunners.ru/race/blagotvoritelnyy-zabeg-vo-blago/,"Благотворительный «Забег во благо»",78,15,https://fnkc-fmba.ru/,,,,"Nofollow, Image",,"2018-09-06 00:09:45","2020-06-13 01:23:00",,ru,0,0,,10
13,1,79,17,0,https://moskva.bezformata.com/listnews/klinicheskij-tcentr-v-rajone-zyablikovo/83375674/,"Москва | Научно-клинический центр в районе Зябликово объявил о наборе сотрудников - БезФормата",245,11,https://fnkc-fmba.ru/news/nasha-komanda-ishchet-novykh-sotrudnikov/,"период пандемии коронавирусной инфекции. Информация об этом размещена на официальном",сайте,медучреждения.,"Dofollow, Content",,"2020-04-27 04:50:41","2020-04-27 04:50:41",,ru,0,0,,9
14,1,70,17,0,https://newsland.com/community/4765/content/on-zhalovalsia-chto-ego-zastavliaiut-rabotat-posle-zarazheniia-koronavirusom/7113865,"Он жаловался, что его заставляют работать после заражения коронавирусом: Политика, экономика, общество (без банов) Newsland – комментарии, дискуссии и обсуждения новости.",134,35,https://fnkc-fmba.ru/news/kollektiv-fnkts-fmba-rossii-vyrazhaet-soboleznovaniya/,"24 апреля",погибла,"заведующая отделением скорой медицинской помощи Звездного городка Наталья Лебедева, которая","Nofollow, Content",,"2020-05-08 06:02:51","2020-05-08 06:02:51",,ru,0,0,,23
15,4,27,16,10,https://alexatop1m.kritih.com/List-155.html,"best websites, top websites, website ranking, top 10 websites, top sites",204,8404,http://fnkc-fmba.ru/default.htm,,fnkc-fmba.ru,,Nofollow,,"2020-02-06 10:01:28","2020-05-18 03:55:17",,,0.51,15,,5113
16,2,6,16,13,http://yaltamarathon.ru/,"Ялта марафон",3,25,https://fnkc-fmba.ru/,"Выдача справок в Москве. В","Федеральном научно-клиническом центре ФМБА России","доступна услуга оформления справки на забег «Ялта марафон 2018» за","Dofollow, Content",,"2018-02-26 16:29:31","2020-06-14 08:14:39",,,0,1,,14
17,1,54,16,0,https://openmedia.io/news/n1/v-voronezhe-vrach-vypal-iz-okna-bolnicy-eto-tretij-podobnyj-sluchaj-za-neskolko-nedel/,"В Воронеже врач выпал из окна больницы. Это третий подобный случай за несколько недель — Открытые Медиа",16,13,https://fnkc-fmba.ru/news/kollektiv-fnkts-fmba-rossii-vyrazhaet-soboleznovaniya/,"24 апреля",умерла,"завотделением скорой помощи Звездного городка в Подмосковье Наталья Лебедева. «Московский комсомолец»",Dofollow,,"2020-05-06 09:05:48","2020-05-12 06:46:09",,ru,0.40,10,,11
18,1,92,16,2,"https://ru.wikipedia.org/wiki/Баранов,_Виктор_Михайлович","Баранов, Виктор Михайлович — Википедия",95,18,https://fnkc-fmba.ru/about/komanda-upravleniya/baranov-viktor-mikhaylovich/,,"Федеральный научно-клинический центр ФМБА России",,Nofollow,,"2018-09-29 14:18:09","2020-04-22 03:46:18",,ru,0,0,,10
19,1,88,16,1,https://zyablikovo.mos.ru/presscenter/news/detail/8850503.html,"Научно-клинический центр в районе Зябликово объявил о наборе сотрудников",228,3,https://fnkc-fmba.ru/news/nasha-komanda-ishchet-novykh-sotrudnikov/,"период пандемии коронавирусной инфекции. Информация об этом размещена на официальном",сайте,медучреждения.,"Dofollow, Content",,"2020-05-04 21:57:24","2020-05-04 21:57:24",,ru,0,0,,3
20,2,81,15,8,https://russland.ahk.de/corona-krise/q-a,"Fragen und Antworten rund um die Corona-Krise in Russland",84,89,https://fnkc-fmba.ru/,,"ФНКЦ специализированных видов медицинской помощи и медицинских технологий",,Dofollow,,"2020-05-19 11:26:31","2020-06-16 05:04:16",,de,16,51,,74
21,2,50,15,5,https://newrunners.ru/race/moskovskiy-treyl-2019/,"Московский трейл",77,25,http://fnkc-fmba.ru/,В,http://fnkc-fmba.ru,"справки по 100 руб при условии регистрации в забеге.",Dofollow,,"2019-04-06 07:21:27","2020-04-25 16:19:46",,ru,50,2,,12
22,1,92,15,3,https://health.mail.ru/news/kak_sdat_krov_na_antitela_i_stat_donorom_plazmy/,"Как сдать кровь на антитела и стать донором плазмы для больных COVID-19: теория и личный опыт - Здоровье Mail.ru",51,10,https://fnkc-fmba.ru/news/v-fnkts-fmba-rossii-prishli-pervye-dobrovoltsy-chtoby-sdat-plazmu-krovi-i-pomoch-tyazhelobolnym-pats/?fbclid=IwAR11J5pgcEyUgeJhS9QFYGVMzdFoYNhXLtSxeFMSf1uKtC3mh9mComiuhwM,"Основные данные для тех, кто хочет сдать кровь, приведены","на сайте","ФНКЦ ФМБА России, но более подробно об этом пишет в","Dofollow, Content",,"2020-06-12 07:57:53","2020-06-12 07:57:53",,ru,0,0,,7
23,1,95,15,,https://vimeo.com/208482473,"Рекламный ролик ФНКЦ ФМБА России on Vimeo",50,3,http://fnkc-fmba.ru/,"специализированной медицинской помощи, объединяющее консультативно-диагностический центр и более 40 отделений.",fnkc-fmba.ru/,,Nofollow,,"2017-05-02 18:13:53","2017-05-02 18:13:53",,en,,,,2
24,1,79,15,0,https://moskva.bezformata.com/listnews/klinicheskij-tcentr-v-zyablikove-vvel/82633275/,"Москва | Научно-клинический центр в Зябликове ввел новые ограничения на посещение - БезФормата - Новости",192,10,https://fnkc-fmba.ru/news/vnimanie/,"с распространением коронавирусной инфекции. Информация об этом размещена на официальном",сайте,центра.,"Dofollow, Content",,"2020-03-28 05:13:58","2020-03-28 05:13:58",,ru,0,0,,8
25,4,54,15,8,http://www.topmillion.net/domain-list-504,"Alexa top domain list || page 504",23,1801,http://fnkc-fmba.ru/,,fnkc-fmba.ru,,Nofollow,,"2019-11-01 16:20:02","2020-05-30 06:16:23",,,0,4,,1046
26,1,73,15,6,https://nowthisnews.com/news/3-russian-doctors-treating-covid-19-patients-have-fallen-out-of-windows-in-2-weeks,"3 Russian Doctors Treating COVID-19 Patients Have Fallen Out Of Windows In 2 Weeks - NowThis",38,38,https://fnkc-fmba.ru/news/kollektiv-fnkts-fmba-rossii-vyrazhaet-soboleznovaniya/,"a high floor. Lebedeva had been hospitalized with suspected COVID-19.","In a statement",", the hospital said the fatal fall was “an accident,”","Dofollow, Content",,"2020-05-07 22:30:59","2020-06-15 16:30:28",,en,0.02,14,,19
27,2,76,15,2,https://sbis.ru/contragents/7724044189/772401001,"ФГБУ Фнкц ФМБА России, БУ, г.Москва ИНН 7724044189 | Реквизиты, юридический адрес, КПП, ОГРН, схема проезда, сайт, e-mail, телефон - узнать на sbis.ru",65,14,http://fnkc-fmba.ru/,,fnkc-fmba.ru,,Dofollow,,"2019-04-11 06:43:58","2019-09-07 00:08:55",,ru,0.16,9,,10
28,16,30,15,1,http://www.medprofedu.ru/kafedri-i-kursi/kafedra-akusherstva-i-ginekologii,"Академия постдипломного образования ФГБУ ФНКЦ ФМБА России / Кафедры и курсы / Кафедра акушерства и гинекологии",18,11,http://fnkc-fmba.ru/,,http://www.kb83.com,,"Dofollow, Content",,"2016-01-26 06:58:56","2020-05-01 17:32:39",,,1.9,14,,8
29,1,79,15,0,https://moskva.bezformata.com/listnews/fnktc-fmba-rossii-vistavil/79778247/,"Москва | ФНКЦ ФМБА России выставил стенд Российской недели здравоохранения-2019 в Экспоцентре - БезФормата - Новости",156,9,https://fnkc-fmba.ru/news/federalnyy-nauchno-klinicheskiy-tsentr-fmba-rossii-primet-uchastie-v-rossiyskoy-nedele-zdravookhranenya-2019/,"По информации, размещенной на официальном",сайте,"медицинского учреждения,до 6 декабряможно посетить экспозицию ФНКЦ ФМБА России, где","Dofollow, Content",,"2019-12-21 10:49:45","2020-03-28 18:07:34",,ru,0,0,,8
30,8,4,14,10,http://msch-protvino.ru/,"МСЧ №174 ФМБА России",14,9,http://fnkc-fmba.ru/,,,,"Dofollow, Image",,"2017-07-29 05:51:57","2020-06-10 23:35:26",,,14,56,,5
31,4,4,14,8,http://www.medinline.ru/,"Интернет-регистратура medinline.ru, запись к врачу онлайн через сайт",35,16,http://fnkc-fmba.ru/,,fnkc-fmba.ru,,Nofollow,,"2015-07-29 03:26:48","2020-06-16 03:56:35",,ru,0,0,,10
32,1,74,14,4,https://tjournal.ru/news/165012-voronezhskiy-vrach-upal-so-vtorogo-etazha-bolnicy-on-zhalovalsya-chto-ego-zastavlyayut-rabotat-posle-zarazheniya-koronavirusom,"Воронежский врач упал со второго этажа больницы. Он жаловался, что его заставляют работать после заражения коронавирусом — Новости на TJ",273,27,https://fnkc-fmba.ru/news/kollektiv-fnkts-fmba-rossii-vyrazhaet-soboleznovaniya/,"фоне распространения Covid-19 российские врачи выпадают из окон. 24 апреля",погибла,"заведующая отделением скорой медицинской помощи Звёздного городка Наталья Лебедева. О",Nofollow,,"2020-05-05 13:32:18","2020-06-08 21:15:44",,,0,2,,19
33,3,92,14,1,https://health.mail.ru/consultation/list/consultant/560/,"Понкратова Юлия Анатольевна - онлайн-консультация специалиста - онколог-химиотерапевт - Здоровье Mail.ru",61,8,https://fnkc-fmba.ru/employees/,,fnkc-fmba.ru/employees/,,Dofollow,,"2020-06-13 23:10:09","2020-06-13 23:10:09",,ru,0,0,,6
34,4,77,14,4,https://www.newsru.com/russia/29may2011/bagapsh.html,"NEWSru.com :: Президент Абхазии умер в Москве",56,19,http://fnkc-fmba.ru/,,kb83.com,,Nofollow,,"2018-07-15 13:28:54","2020-06-12 06:03:47",,ru,0,0,,15
35,2,7,14,0,https://openmedia.ru/news/n1/v-voronezhe-vrach-vypal-iz-okna-bolnicy-eto-tretij-podobnyj-sluchaj-za-neskolko-nedel/,"В Воронеже врач выпал из окна больницы. Это третий подобный случай за несколько недель — Открытые Медиа",13,16,https://fnkc-fmba.ru/news/kollektiv-fnkts-fmba-rossii-vyrazhaet-soboleznovaniya/,"24 апреля",умерла,"завотделением скорой помощи Звездного городка в Подмосковье Наталья Лебедева. «Московский комсомолец»",Dofollow,,"2020-05-05 17:23:14","2020-05-05 17:23:14",,ru,0,0,,12
36,1,62,14,0,https://maxpark.com/community/4765/content/7113865,"Он жаловался, что его заставляют работать после заражения коронавирусом | Политика, экономика, общество (без банов)",67,42,https://fnkc-fmba.ru/news/kollektiv-fnkts-fmba-rossii-vyrazhaet-soboleznovaniya/,"24 апреля",погибла,"заведующая отделением скорой медицинской помощи Звездного городка Наталья Лебедева, которая","Nofollow, Content",,"2020-05-07 19:27:16","2020-05-18 08:31:18",,ru,0,0,,24
37,14,88,14,1,https://uao.mos.ru/presscenter/news/detail/5378644.html,"В программу специализированного Европейского исследования вошел Научно-клинический центр",494,10,http://fnkc-fmba.ru/,"сердечно-сосудистых заболеваний, ведения пациентов и результатов лечения», - говорится на",сайте,"медицинского учреждения.","Dofollow, Content",,"2019-05-18 12:05:04","2020-03-24 07:54:00",,ru,0,0,,5
38,136,90,14,1,http://link.2gis.ru/1.2/4DFF61CA/webapi/20180801/project32/70000001030403348/maps.ngs.ru/A87i5yp8p729J81301I1GG4G9429n244G6G413453H613659ovvgA9A6573I4G39G4G524G5wzhduvG4563A102262H397J1HHGfe?http://fnkc-fmba.ru,,0,2,http://fnkc-fmba.ru/,,перейти,.,"Dofollow, Content",,"2018-12-05 20:44:19","2018-12-05 20:44:19",,,,,,1
39,1,88,14,1,https://zyablikovo.mos.ru/presscenter/news/detail/8533071.html,"ФНКЦ ФМБА России выставил стенд Российской недели здравоохранения-2019 в Экспоцентре",225,2,https://fnkc-fmba.ru/news/federalnyy-nauchno-klinicheskiy-tsentr-fmba-rossii-primet-uchastie-v-rossiyskoy-nedele-zdravookhranenya-2019/,"По информации, размещенной на официальном",сайте,"медицинского учреждения,до 5 декабряможно посетить экспозицию ФНКЦ ФМБА России, где","Dofollow, Content",,"2020-01-02 21:22:59","2020-01-02 21:22:59",,ru,0,0,,2
40,1,88,14,1,https://zyablikovo.mos.ru/presscenter/news/detail/8437436.html,"Горожане бесплатно проконсультируются у врача-ортодонта на Ореховом бульваре",227,2,https://fnkc-fmba.ru/news/besplatnaya-konsultatsiya-vracha-ortodonta-uspey-zapisatsya/,"Подробно об акции читайте на",сайте,"ФНКЦ ФМБА России. Запись по телефону:8(499)725-44-40. Прием пройдет на 5-м","Dofollow, Content",,"2019-12-28 17:00:49","2019-12-28 17:00:49",,ru,0,0,,2
41,1,72,13,3,https://www.eurasiareview.com/06052020-russia-third-doctor-mysteriously-falls-from-hospital-window-amid-coronavirus-outbreak/,"Russia: Third Doctor Mysteriously Falls From Hospital Window Amid Coronavirus Outbreak - Eurasia Review",49,17,https://fnkc-fmba.ru/news/kollektiv-fnkts-fmba-rossii-vyrazhaet-soboleznovaniya/,"Zvyozdny near Moscow, died in what a Moscow hospital called","“an accident.”","She was treated at the hospital for COVID-19.","Dofollow, Content",,"2020-05-07 21:42:36","2020-06-13 15:29:31",,en,0,0,,13
42,1,79,13,0,https://moskva.bezformata.com/listnews/klinicheskij-tcentr-vvel-ogranichenie/82403700/,"Москва | Федеральный научно-клинический центр ввел ограничение на посещения пациентов - БезФормата - Новости",155,10,https://fnkc-fmba.ru/news/vnimanie/,"ограничение на посещения пациентов. Информация об этом размешена на официальном",сайте,учреждения.,"Dofollow, Content",,"2020-03-27 15:43:43","2020-03-27 15:43:43",,ru,0,0,,8
43,8,30,13,0,http://www.medprofedu.ru/kafedri-i-kursi/kafedra-kardiologii/klinicheskaya-baza,"Академия постдипломного образования ФГБУ ФНКЦ ФМБА России / Кафедры и курсы / Кафедра кардиологии / Клиническая база",17,9,https://fnkc-fmba.ru/,,fnkc-fmba.ru,,"Dofollow, Content",,"2017-07-26 21:49:44","2020-05-17 10:48:42",,,0,0,,7
44,1,84,13,1,https://tg.wikipedia.org/wiki/Сурайё_Асадова,"Сурайё Асадова — Википедия",61,17,https://fnkc-fmba.ru/employees/373-asadova_surayye_khaydarovna/,,"Асадова Сурайе Хайдаровна",,Nofollow,,"2020-05-04 11:36:09","2020-05-04 11:36:09",,ru,0,0,,8
45,8,68,13,4,https://www.astro.cz/clanky/kosmonautika/jak-skoncily-sovetske-raketoplany.html,"Jak skončily sovětské raketoplány? | Kosmonautika | Články | Astronomický informační server astro.cz",86,109,http://fnkc-fmba.ru/,"výzkumné a klinické středisko specializovaných druhů zdravotní péče a lékařských technologií (","Федеральный научно-клинический центр специализированных видов медицинской помощи и медицинских технологий ФМБА",).,"Dofollow, Content",,"2018-01-07 20:11:10","2020-06-12 15:25:57",,cs,29,6,,39
46,1,76,13,6,https://vm.ru/news/796778-vrachi-fmba-priglasili-vylechivshihsya-ot-covid-19-sdat-krov-dlya-lecheniya-drugih,"Врачи ФМБА пригласили вылечившихся от COVID-19 сдать кровь для лечения других - Вечерняя Москва",100,39,https://fnkc-fmba.ru/news/v-fnkts-fmba-rossii-prishli-pervye-dobrovoltsy-chtoby-sdat-plazmu-krovi-i-pomoch-tyazhelobolnym-pats/,"кровь для лечения людей, больных COVID-19. Об этом сообщается на",сайте,"Федерального научно-клинического центра Федерального медико-биологического агентства (ФНКЦ ФМБА) России.","Dofollow, Content",,"2020-04-30 15:00:51","2020-06-12 11:38:11",,ru,0,0,,15
47,1,88,13,1,https://zyablikovo.mos.ru/presscenter/news/detail/7701026.html,"«День донора» пройдет в Зябликове 16 ноября",186,3,https://fnkc-fmba.ru/news/den-donora-v-fnkts-fmba-rossii-odin-litr-krovi-neskolko-spasennykh-zhizney/,"важно не навредить и своему организму», – сообщается на официальном",сайте,"учреждения здравоохранения.","Dofollow, Content",,"2019-01-07 03:10:28","2019-01-07 03:10:28",,ru,0,0,,2
48,1,79,13,0,http://moskva.bezformata.com/listnews/zreniya-obyavlyaet-fnktc-fmba/72899695/,"Москва | Акцию по бесплатной проверке зрения объявляет ФНКЦ ФМБА России - БезФормата - Новости",154,14,https://fnkc-fmba.ru/news/zhiteli-zyablikovo-smogut-besplatno-proverit-zrenie/,"района 18 и 19 февраля. Об этом сообщается на официальном",сайте,учреждения.,"Dofollow, Content",,"2019-03-15 23:00:15","2019-07-12 00:43:27",,ru,0,0,,9
49,1,88,13,1,https://zyablikovo.mos.ru/presscenter/news/detail/8263534.html,"День здоровья проведет ФНКЦ ФМБА России 9 августа",222,2,https://fnkc-fmba.ru/aktsii/den-zdorovya-s-lor-vrachom/,"По информации, размещенной на официальном",сайте,"медицинского учреждения, пациенты получат первичную консультацию, пройдут осмотр ЛОР-органов. А","Dofollow, Content",,"2019-08-27 01:25:18","2019-08-27 01:25:18",,ru,0,0,,2
50,1,88,13,1,https://zyablikovo.mos.ru/presscenter/news/detail/7891752.html,"Акцию по бесплатной проверке зрения объявляет ФНКЦ ФМБА России",229,2,https://fnkc-fmba.ru/news/zhiteli-zyablikovo-smogut-besplatno-proverit-zrenie/,"района 18 и 19 февраля. Об этом сообщается на официальном",сайте,учреждения.,"Dofollow, Content",,"2019-03-24 17:03:34","2020-03-29 06:27:49",,ru,0,0,,2
51,1,88,13,1,https://uao.mos.ru/presscenter/news/detail/8083628.html,"День донора организуют в медицинском центре на Ореховом бульваре",491,9,https://fnkc-fmba.ru/,Источник:,"ФНКЦ ФМБА России",,"Dofollow, Content",,"2019-06-04 04:33:24","2020-04-23 18:27:09",,ru,0,0,,5
52,1,88,13,1,https://zyablikovo.mos.ru/presscenter/news/detail/8768378.html,"Федеральный научно-клинический центр ввел ограничение на посещения пациентов",226,2,https://fnkc-fmba.ru/news/vnimanie/,"ограничение на посещения пациентов. Информация об этом размешена на официальном",сайте,учреждения.,"Dofollow, Content",,"2020-03-29 13:45:58","2020-03-29 13:45:58",,ru,0,0,,2
53,2,88,13,1,https://zyablikovo.mos.ru/presscenter/news/detail/7803815.html,"Клинико-диагностический центр будет работать 2 дня на январских праздниках",228,2,https://fnkc-fmba.ru/news/grafik-raboty-fgbu-fnkts-fmba-rossii-v-vykhodnye-i-nerabochie-prazdnichnye-dni/,"ФМБА) России в новогодние праздники. Об этом сообщается на официальном",сайте,"медицинского учреждения.","Dofollow, Content",,"2019-02-07 00:53:53","2020-03-29 01:15:25",,ru,0,0,,2
54,1,49,13,0,https://zabanen.whotrades.com/blog/43503753896,"КОРОЛЕВСКИЕ ХРОНИКИ",53,34,https://fnkc-fmba.ru/news/kollektiv-fnkts-fmba-rossii-vyrazhaet-soboleznovaniya/,,погибла,,"Nofollow, Content",,"2020-05-04 23:35:07","2020-05-10 08:02:48",,ru,0,0,,16
55,19,88,13,1,https://zyablikovo.mos.ru/presscenter/news/detail/6924952.html,"Научно-клинический центр в Зябликове организует конференцию для кардиологов Москвы",226,2,https://fnkc-fmba.ru/,Фото:,"ФНКЦ ФМБА",,"Dofollow, Content",,"2020-03-18 10:07:56","2020-03-18 10:07:56",,ru,0,0,,2
56,1,54,13,5,https://2ch.hk/b/arch/2020-02-07/res/213147922.html,"/b/ - ЕАНОН АНАСТЕЗИСТА ПРИЗНАВШЕГОСЯ В УБИЙЦЕ 10+",269,162,https://fnkc-fmba.ru/employees/550-kim_sergey_vladimirovich/,"до Кирова докопались? Вот вам ещё Сергей Владимирович, в Москве",https://fnkc-fmba.ru/employees/550-kim_sergey_vladimirovich/,,Nofollow,,"2020-04-08 05:12:50","2020-06-13 23:19:42",,,0,0,,21
57,1,88,13,0,https://zyablikovo.mos.ru/presscenter/news/detail/8654811.html?sphrase_id=280630052,"ФНКЦ ФМБА России оказался в списке лучших больниц страны",229,3,https://fnkc-fmba.ru/,"Фото: официальный",сайт,"ФНКЦ ФМБА России","Dofollow, Content",,"2020-04-24 07:22:17","2020-04-24 07:22:17",,ru,0,0,,2
58,1,88,13,0,https://zyablikovo.mos.ru/presscenter/news/detail/8654811.html?sphrase_id=280630052,"ФНКЦ ФМБА России оказался в списке лучших больниц страны",229,3,https://fnkc-fmba.ru/news/luchshie-gosudarstvennye-kliniki-i-bolnitsy/,"вошел в число лучших больниц страны. Об этом сообщается на",сайте,"медицинского учреждения со ссылкой на аналитическое исследование интернет-портала «НаПоправку».","Dofollow, Content",,"2020-04-24 07:22:17","2020-04-24 07:22:17",,ru,0,0,,2
59,1,88,13,0,https://zyablikovo.mos.ru/presscenter/news/detail/8789472.html?sphrase_id=280630052,"Научно-клинический центр в Зябликове ввел новые ограничения на посещение",228,2,https://fnkc-fmba.ru/news/vnimanie/,"с распространением коронавирусной инфекции. Информация об этом размещена на официальном",сайте,центра.,"Dofollow, Content",,"2020-04-24 09:45:40","2020-04-24 09:45:40",,ru,0,0,,2
60,1,74,13,0,https://tjournal.ru/gifv/158330-video-voditelya-skoroy-pomoshchi-ot-bolnicy,"Видео водителя скорой помощи от больницы — TJhub на TJ",77,10,https://fnkc-fmba.ru/,"Москва это. Зябликово",https://fnkc-fmba.ru/,,Dofollow,,"2020-04-14 21:06:27","2020-04-14 21:06:27",,en,0.03,1,,6
61,2,90,13,0,http://buildershumour.narod.ru/kartinki86.htm,"строитель картинки,фото строителей,стройка фото,картинки стройка,фото приколы строителей,картинки со строителями",93,20,http://fnkc-fmba.ru/pages/cssh.php,"в центрах . курсы экстремального вождения Коронарное шунтирование по материалам",kb83.com,". купить батут детский Анализ рынка недвижимости и еще .","Dofollow, Content",,"2019-10-07 21:30:04","2020-05-12 05:20:17",,ru,0,0,,13
62,6,85,13,1,https://hh.ru/employer/692314,"Вакансии компании ФГБУ ФНКЦ специализированных видов медицинской помощи и медицинских технологий ФМБА России - работа в Москве",70,9,http://fnkc-fmba.ru/,,fnkc-fmba.ru,,Nofollow,,"2019-02-02 14:52:09","2020-06-13 22:59:31",,ru,93,61,,7
63,2,62,13,0,https://eva.ru/forum/mobile/topic/2446952.htm,"артроз колена",85,17,http://fnkc-fmba.ru/,,http://www.kb83.com/,,Nofollow,,"2018-10-17 23:50:43","2020-04-26 14:15:28",,ru,0,0,,14
64,1,62,13,0,https://eva.ru/forum/mobile/topic/3573882.htm,"Жировики на голове",46,3,https://fnkc-fmba.ru/employees/557-nechunaev_aleksey_aleksandrovich/,"Нечунаев А.А.",https://fnkc-fmba.ru/employees/557-nechunaev_aleksey_aleksandrovich/,,Nofollow,,"2019-10-21 15:40:38","2020-05-08 10:16:51",,ru,0,0,,3
65,1,88,13,0,https://zyablikovo.mos.ru/presscenter/news/detail/7864599.html,"«День здоровья» пройдет в Федеральном научно-клиническом центре",229,2,https://fnkc-fmba.ru/news/priglashaem-na-den-zdorovya-v-fnkts-fmba-rossii-/,"(ФНКЦ ФМБА) России 18 февраля. Об этом сообщается на официальном",сайте,учреждения.,"Dofollow, Content",,"2019-02-12 20:44:28","2020-03-24 13:09:17",,ru,0,0,,2
